t0,t1
672.9003699006729,675.2431856106738
679.01595827068,681.7081723806803
684.0823515806851,686.8221942606854
687.5887009206876,690.2735824206887
691.054787610691,694.0905006906926
694.8773053206949,697.3034127006958
700.4988764307016,703.2012895207017
704.005692390704,706.4015028007049
708.8487080307099,711.6237138607102
712.5038091607125,715.0272068107136
715.8360092407158,718.410701760717
719.928799910721,722.6214139807212
725.5286065407265,728.2369190407268
729.0542206207291,732.2505176407308
734.0634196507341,736.7447348407353
738.93146612074,744.504625440743
745.4149177207454,747.6237135007461
748.7978793807498,751.7144377207502
753.6446279907547,756.494326350755
758.7447179307597,761.50932480076
762.3161274307623,765.0335390107635
768.1477442007691,770.9399483107694
771.7505505607718,773.8969859107724
776.8642391307778,779.5905498307781
781.4981423707815,783.9977424007825
786.3441910407873,789.1403614207876
793.7274526407947,796.7990621407953
797.6193634207976,800.3158104307988
802.2939292408033,805.0805672408036
808.1104475308091,810.7612657808093
812.8135771708138,815.6232795308141
817.1967721408182,819.9035847908184
820.963395440822,823.7110373408223
828.2435006908293,830.8032280508293
832.6032980108326,834.9725777408335
836.8464069808379,839.551586460838
840.7629486208418,843.481893390842
847.1097472108481,849.8146933808483
852.5961985108536,855.2701144508537
857.5794668008585,860.2939120208588
862.1760737608632,865.0106069708635
869.6458933708707,872.3466066308708
873.1373108708732,875.5660179908741
877.3393239608773,879.5567188808781
880.3423236308804,882.7192026008812
883.4800098308834,886.1509260608847
887.2090368808882,890.0047073108885
891.025655180892,893.7676309808922
894.5495361008946,896.7861291008953
898.2588984508993,901.0268383208995
902.9175325509029,905.3580384909038
906.3619547309074,909.3149427609078
911.3920850009124,914.1101298609126
914.9168325009149,917.2222519509157
918.3751866209194,921.0963311709196
923.0615179409241,925.8165591009243
926.7613479209277,929.481559230928
930.2640642909303,932.513056050931
