pid,lab,subject,date,depth,theta,phi,ml_ccf_tip,ap_ccf_tip,dv_ccf_tip,selectable
f2ee886d-5b9c-4d06-a9be-ee7ae8381114,churchlandlab,CSHL051,2/5/2020,4075.534468,24.62396366,129.4818628,4348.145936,8678.772265,4229.913198,FALSE
04690e35-ab38-41db-982c-50cbdf8d0dd1,churchlandlab,CSHL052,2/17/2020,7001.142295,8.074595916,8.161379516,3151.563449,7414.60464,7256.733207,FALSE
b46e219c-6a87-4a93-9924-1070841381e9,churchlandlab,CSHL052,2/17/2020,3810.132708,15.83996183,171.2520217,4030.251813,6628.206673,4440.45379,FALSE
5810514e-2a86-4a34-b7bd-1e4b0b601295,churchlandlab,CSHL052,2/19/2020,4765.243122,14.00432199,171.7954288,4766.362602,6739.565817,5148.608062,TRUE
1841cf1f-725d-499e-ab8e-7f6fc8c308b6,churchlandlab,CSHL052,2/20/2020,5383.29103,8.595460344,34.15495653,2284.200015,8851.712442,5947.827121,TRUE
220bca21-4cf8-43f1-a213-71645899c571,churchlandlab,CSHL052,2/20/2020,4059.54598,7.71937231,169.5585374,3561.253673,7823.822157,4597.757728,FALSE
461ecb39-ab58-4a6c-acd7-22da5b4b4b22,churchlandlab,CSHL052,2/21/2020,6117.236392,8.058740464,22.46769909,3182.528589,8627.729115,6356.827863,FALSE
8d59da25-3a9c-44be-8b1a-e27cdd39ca34,churchlandlab,CSHL052,2/21/2020,3636.51953,7.911035391,180,3911.666322,7324,4076.910674,FALSE
43d4f889-4b05-44df-8306-ea10f854776f,churchlandlab,CSHL053,1/29/2020,3986.17823,23.13549352,130.7614793,5872.58789,7586.290954,4040.602906,FALSE
188fe7d5-fd1c-494f-88bc-672d77b9779e,churchlandlab,CSHL053,1/30/2020,3979.448684,21.70391702,144.0358852,5266.124127,7314.263039,4122.33479,FALSE
0ce74616-abf8-47c2-86d9-f821cd25efd3,churchlandlab,CSHL053,2/1/2020,2810.689986,15.40174685,142.7312616,5444.050605,11477.03328,3809.750541,FALSE
04db6b9e-a80c-4507-a98e-ad76294ac444,churchlandlab,CSHL053,2/2/2020,4136.803388,14.46745729,51.71552229,4034.679418,11461.23824,5105.624088,FALSE
e10a7a75-4740-41d1-82bb-7696ed14c442,churchlandlab,CSHL054,2/11/2020,4094.386984,17.27550031,-10.81410794,6612.497179,9294.150734,4534.680465,FALSE
0eb65305-bb95-4bf1-a154-1b810c0cff25,churchlandlab,CSHL055,2/17/2020,4028.640124,19.08466583,-170.1077029,3682.235779,7439.99693,4707.21177,FALSE
f9656eee-141c-453d-a016-4aba68f674dc,churchlandlab,CSHL055,2/17/2020,5932.956881,5.73506182,-51.59532906,2070.2615,6914.354969,6778.260091,FALSE
d585f4b5-d154-4666-92c4-eb219f1e0f02,churchlandlab,CSHL058,7/7/2020,3874.275088,14.63388282,29.0490158,6819.325877,7900.265302,4123.593355,FALSE
eeb27b45-5b85-4e5c-b6ff-f639ca5687de,churchlandlab,CSHL058,7/7/2020,3402.613094,14.94005525,151.4368983,3995.456218,7619.422928,3837.591442,FALSE
acf04c3f-650a-4de0-b0d0-edf695dd2025,churchlandlab,CSHL058,7/8/2020,3530.863743,24.53711434,155.9995906,5614.533172,3696.410062,4762.000107,FALSE
5458cb27-d065-4626-bcd8-1aa775e1115e,churchlandlab,CSHL058,7/11/2020,3711.127966,18.02001517,32.97805989,5211.937894,3949.895665,4954.091606,FALSE
bf591043-03c2-48bb-9197-e17e85aaeb8f,churchlandlab,CSHL058,7/11/2020,4091.669393,13.84435133,155.8601201,4168.455184,5800.408362,4947.80372,FALSE
2d2cdf86-4a0c-42d8-aed3-5b187f160013,churchlandlab,CSHL059,3/3/2020,4984.591083,7.312126355,0.117259645,3190.589816,4676.298365,6069.054034,FALSE
79628a45-c2e3-4206-97df-4c91edaff90f,churchlandlab,CSHL059,3/3/2020,4229.182476,11.85430756,177.4335822,4342.903237,4888.901525,5288.987202,FALSE
c42574be-0456-437f-8329-afc5a63b7e78,churchlandlab,CSHL059,3/5/2020,6335.581699,8.75587839,8.855230799,3747.063018,5723.463187,6886.746182,FALSE
e88eb9f8-fff3-469a-854d-d16adef19df0,churchlandlab,CSHL059,3/5/2020,3610.387462,11.75032074,-174.3388943,5131.659446,5727.472268,4084.729383,FALSE
69f42a9c-095d-4a25-bca8-61a9869871d3,churchlandlab,CSHL059,3/6/2020,4252.492263,14.85820571,166.5255418,4382.35805,7998.064118,4585.303326,FALSE
8169d556-f994-4735-b4c8-f7c85ddc39b0,churchlandlab,CSHL059,3/6/2020,4116.231989,16.07153484,8.485265368,6647.946913,8068.142908,4330.356506,FALSE
5a9f8899-556a-43ea-892d-5e35b969ff38,churchlandlab,CSHL059,3/7/2020,7088.206621,9.134035652,0.546592008,2549.836699,7485.734192,7373.325901,FALSE
50f1512d-dd41-4a0c-b3ab-b0564f0424d7,churchlandlab,CSHL059,3/8/2020,4550.752484,15.88952996,171.1133983,4455.964788,8417.469039,4901.874402,FALSE
f4ff3ff8-19b7-40c7-bf6f-8b577b811ed1,churchlandlab,CSHL059,3/8/2020,6645.948404,7.914091504,3.449952916,3261.589993,5655.065756,7232.649931,FALSE
35897454-8702-4dc4-9865-7f01fa65f355,churchlandlab,CSHL060,3/9/2020,6331.682527,14.67597848,33.38018549,5960.476079,12082.58878,7350.105413,FALSE
9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,churchlandlab,CSHL060,3/9/2020,3316.494204,24.57731374,135.1813002,4978.46371,3347.290943,5041.022694,FALSE
62a97aee-9f8b-40be-9ea7-f785ede30df8,churchlandlab,CSHL060,3/11/2020,4291.1772,25.45704945,131.3700689,5594.06379,3759.213485,5774.537168,FALSE
e52942b9-62b8-4cbf-9597-d73aea5cdb3e,churchlandlab,CSHL060,3/11/2020,5552.965448,15.06349757,30.82633041,5610.726021,12539.52766,6537.156665,FALSE
7bc16ab1-1b0d-4f52-9e4b-210106ea344c,churchlandlab,CSHL060,3/12/2020,6059.501397,13.33827086,34.95939511,6029.318686,12401.00528,7096.046306,FALSE
8d0a5caf-2be2-48c1-bf1a-f538bacd46b4,churchlandlab,CSHL060,3/12/2020,3309.388992,19.87282093,166.7666735,7520.09949,11807.52537,4037.313173,FALSE
516b2043-0176-49a3-a986-132b3d02f28a,churchlandlab,CSHL060,3/14/2020,5850.7513,17.82899612,29.78311203,5145.251988,5089.804115,6619.766425,FALSE
44f5caad-c703-4279-866b-0303e57d2a7f,churchlandlab,CSHL060,3/15/2020,4576.599155,17.07026771,147.043885,3927.259149,10030.82372,5249.979236,FALSE
f74a6b9a-b8a5-4c80-9c30-7dd4cdbb48c0,churchlandlab,CSHL060,3/15/2020,5602.080294,19.18848044,33.51187544,5339.798677,4891.585245,6465.842557,FALSE
e42e948c-3154-45cb-bf52-408b7cda0f2f,churchlandlab_ucla,UCLA005,8/2/2021,4332.211011,11.56157361,137.4284138,4164.419198,8637.391136,4669.309954,FALSE
f967a527-257f-404a-871d-b91575dca3b4,churchlandlab_ucla,UCLA006,12/8/2021,4068.220404,17.91443423,158.36844,4513.240202,6811.300723,4520.980642,FALSE
c07d13ed-e387-4457-8e33-1d16aed3fd92,churchlandlab_ucla,UCLA011,7/20/2021,4588.243939,9.899893023,-180,4288.844213,7650,4944.923368,FALSE
ad256265-03f2-4b4e-954b-0ba0c5cf6707,churchlandlab_ucla,UCLA012,7/7/2021,5120.249866,21.28107089,-3.890383442,6220.921348,7298.91423,5271.1061,FALSE
94e948c1-f7be-4868-893a-f7cd2df3313e,churchlandlab_ucla,UCLA014,8/18/2021,4914.688297,11.7829279,179.7630181,4478.592268,8354.150996,5236.12735,FALSE
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,churchlandlab_ucla,UCLA015,3/31/2022,4356.774776,14.99134699,146.6418178,4166.309985,8594.694323,4708.491524,FALSE
eebcaf65-7fa4-4118-869d-a084e84530e2,churchlandlab_ucla,UCLA033,2/15/2022,4483.52925,23.2001436,52.03714383,6388.484043,8967.536852,4445.965752,FALSE
2e720cee-05cc-440e-a24b-13794b1ac01d,churchlandlab_ucla,UCLA033,2/24/2022,6483.211333,31.35601283,133.1411627,5256.838358,11711.59411,6311.341791,FALSE
a94a0023-d461-49fa-8cc6-032237039c27,churchlandlab_ucla,UCLA034,1/25/2022,4388.889475,15.21514319,25.61606598,6586.374006,8672.984335,4585.046454,FALSE
f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,churchlandlab_ucla,UCLA034,1/25/2022,4858.866469,16.24691493,162.7324467,4448.131162,8378.516524,5189.827249,FALSE
6358854e-51d2-47de-a278-5cbfd155feb6,churchlandlab_ucla,UCLA034,1/26/2022,4060.816828,27.27203938,148.0277106,5753.465777,4635.273714,4959.420287,FALSE
c872ca65-8319-4901-856e-7dc507e2dd9c,churchlandlab_ucla,UCLA034,1/27/2022,5291.015521,22.27127023,147.244676,5636.395644,4384.947676,6471.305088,FALSE
f083fcd5-e456-433d-8aa5-6ace0a7ac170,churchlandlab_ucla,UCLA034,1/27/2022,4988.467472,8.221838826,45.11001301,3721.532451,9655.404676,5312.194979,FALSE
501ab543-9d02-4085-956d-22b9b3eeb543,churchlandlab_ucla,UCLA034,1/28/2022,3999.36589,18.83595168,159.5916056,3610.184224,7475.265315,4735.187289,FALSE
54455bff-7afd-4a16-835f-f79b7c30bae9,churchlandlab_ucla,UCLA035,2/18/2022,2771.519826,27.89390379,167.3596892,6015.190112,7283.73825,2699.511938,FALSE
7c94d733-b913-4064-83f2-37422712204c,churchlandlab_ucla,UCLA035,2/18/2022,3383.0762,17.44439479,43.45863661,2813.836852,4972.583383,4627.482892,FALSE
6ad5a0a6-362a-4aec-8743-2e91469b0b62,churchlandlab_ucla,UCLA035,2/24/2022,4430.336567,26.93136266,151.8838442,5944.80957,3870.631713,5624.865421,FALSE
80f6ffdd-f692-450f-ab19-cd6d45bfd73e,churchlandlab_ucla,UCLA036,3/9/2022,4310.896033,18.77552453,153.0304527,4486.615542,8154.259418,4606.499626,FALSE
ac839451-05bc-493e-b167-558b2b195baa,churchlandlab_ucla,UCLA036,3/9/2022,3692.288125,17.17806793,16.64108927,6580.183375,7987.289411,3877.580636,FALSE
02cc03e4-8015-4050-bb42-6c832091febb,churchlandlab_ucla,UCLA037,2/2/2022,4613.776792,20.35065042,155.6087836,4961.301142,8187.605496,4750.793478,FALSE
afe87fbb-3a17-461f-b333-e22903f1d70d,churchlandlab_ucla,UCLA037,2/2/2022,4393.861121,17.30262973,29.25650922,6834.880424,7963.667801,4670.026381,FALSE
e05af01e-8721-4ec7-8d0f-dc022b3bebc3,churchlandlab_ucla,UCLA037,2/8/2022,5963.249353,14.18894722,144.3030841,6087.079673,6377.906389,6406.326439,FALSE
5245b505-d0e7-4942-94d1-b33a084fab03,churchlandlab_ucla,UCLA037,2/9/2022,2163.170237,24.84075047,23.38171587,2740.882094,3660.639065,3713.031395,FALSE
29418b18-4db6-436f-a85e-b0f1d38d2e62,churchlandlab_ucla,UCLA037,2/10/2022,2453.297126,18.91738027,7.515155133,1936.462284,10079.02516,3545.787329,FALSE
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2,cortexlab,KS014,12/3/2019,4686.575001,5.786074619,-29.23769679,6687.718156,8569.227355,4937.698028,FALSE
